,DOM,delay
223,2,-1
224,2,0
225,2,-1
226,2,0
227,2,-1
228,2,0
229,2,-1
230,2,-1
231,2,-1
232,2,-1
233,2,-1
234,2,-1
235,2,-1
236,2,-1
237,2,-1
238,2,-1
239,2,-1
240,2,-1
241,2,0
242,2,-1
243,2,0
244,2,-1
245,2,0
246,2,-1
247,2,0
248,2,-1
249,2,0
250,2,-1
251,2,0
252,2,-1
253,2,0
254,2,-1
255,2,0
256,2,-1
257,2,0
258,2,-1
259,2,0
260,2,-1
261,2,0
262,2,-1
263,2,0
264,2,-1
265,2,0
266,2,0
267,2,-1
268,2,0
269,2,-1
270,2,0
271,2,-1
272,2,0
273,2,-1
274,2,0
275,2,-1
276,2,0
277,2,-1
278,2,0
279,2,-1
280,2,0
281,2,-1
282,2,0
283,2,-1
284,2,0
285,2,-1
286,2,0
287,2,-1
288,2,0
289,2,-1
290,2,0
291,2,-1
292,2,0
293,2,-1
294,2,0
295,2,-1
296,2,-1
297,2,-1
298,2,-1
299,2,-1
300,2,-1
301,2,-1
302,2,-1
303,2,0
304,2,-1
305,2,0
306,2,-1
307,2,0
308,2,-1
309,2,0
310,2,-1
311,2,0
312,2,-1
313,2,0
314,2,-1
315,2,0
316,2,-1
317,2,0
318,2,-1
319,2,0
320,2,-1
321,2,0
322,2,-1
323,2,0
324,2,-1
325,2,0
326,2,-1
327,2,0
328,2,-1
329,2,0
330,2,-1
331,2,0
332,2,-1
333,2,0
334,2,-1
335,2,-1
336,2,0
337,2,-1
338,2,0
339,2,-1
340,2,0
341,2,-1
342,2,0
343,2,-1
344,2,0
345,2,-1
346,2,0
347,2,-1
348,2,0
349,2,-1
350,2,0
351,2,-1
352,2,0
353,2,-1
354,2,0
355,2,-1
356,2,0
357,2,-1
358,2,0
359,2,-1
360,2,0
361,2,-1
362,2,0
363,2,-1
364,2,0
365,2,-1
366,2,0
367,2,-1
368,2,-1
369,2,-1
370,2,-1
371,2,-1
372,2,-1
373,2,0
