DOM,date,time,yaw,pitch,roll,aX,aY,aZ,gX,gY,gZ,hX,hY,hZ,Temp,Humid
15,2/3/2021,14:50:20,0,0,0,0,0,0,0,0,0,0,0,0,44.96,11.43
15,2/3/2021,14:50:30,0,0,0,0,0,0,0,0,0,0,0,0,44.89,11.55
15,2/3/2021,14:50:40,0,0,0,0,0,0,0,0,0,0,0,0,44.97,11.43
15,2/3/2021,14:50:50,0,0,0,0,0,0,0,0,0,0,0,0,44.97,11.43
15,2/3/2021,14:51:00,0,0,0,0,0,0,0,0,0,0,0,0,44.99,11.43
15,2/3/2021,14:51:10,0,0,0,0,0,0,0,0,0,0,0,0,45.01,11.43
15,2/3/2021,14:51:20,0,0,0,0,0,0,0,0,0,0,0,0,44.94,11.42
15,2/3/2021,14:51:30,0,0,0,0,0,0,0,0,0,0,0,0,44.98,11.43
15,2/3/2021,14:51:40,0,0,0,0,0,0,0,0,0,0,0,0,44.95,11.56
15,2/3/2021,14:51:50,0,0,0,0,0,0,0,0,0,0,0,0,44.94,11.48
15,2/3/2021,14:52:00,0,0,0,0,0,0,0,0,0,0,0,0,44.9,11.51
15,2/3/2021,14:52:10,0,0,0,0,0,0,0,0,0,0,0,0,45.02,11.39
15,2/3/2021,14:52:20,0,0,0,0,0,0,0,0,0,0,0,0,45.05,11.39
15,2/3/2021,14:52:30,0,0,0,0,0,0,0,0,0,0,0,0,45.05,11.36
15,2/3/2021,14:52:40,0,0,0,0,0,0,0,0,0,0,0,0,45.02,11.39
15,2/3/2021,14:52:50,0,0,0,0,0,0,0,0,0,0,0,0,45.01,11.48
15,2/3/2021,14:53:00,0,0,0,0,0,0,0,0,0,0,0,0,45.04,11.43
15,2/3/2021,14:53:10,0,0,0,0,0,0,0,0,0,0,0,0,44.98,11.48
15,2/3/2021,14:53:20,0,0,0,0,0,0,0,0,0,0,0,0,44.98,11.39
15,2/3/2021,14:53:30,0,0,0,0,0,0,0,0,0,0,0,0,45.02,11.43
1,2/3/2021,14:43:40,196.985748291016,-34.5455932617188,179.932708740234,0,7.60764936281943E-42,-0.997581481933594,-1.01890329415965E-18,-8390.9892578125,-0.632120549678802,0.0872727259993553,-1.38669034304598E+20,0.113939397037029,41.53,13.5
1,2/3/2021,14:43:50,196.985748291016,-34.5455932617188,179.932708740234,2.04636307898909E-11,6.05290871665105E-41,46634364928,-1.76952395696365E-16,-8390.748046875,-0.632120549678802,0.0881818160414696,-1.37645644065836E+20,0.112424239516258,41.61,13.46
1,2/3/2021,14:44:00,196.985748291016,-34.5455932617188,179.932708740234,0,6.08275637394117E-41,-0.997923970222473,-2.61525674173114E-17,-8391.2314453125,-0.632120549678802,0.0887878760695457,-1.3457547334955E+20,0.113939397037029,41.64,13.34
1,2/3/2021,14:44:10,196.985748291016,-34.5455932617188,179.932708740234,0,6.08864182749133E-41,-0.997874736785889,-1.76952395696365E-16,-8391.474609375,-0.632120549678802,0.0893939435482025,-1.35598863588312E+20,0.109999999403954,41.69,13.35
1,2/3/2021,14:44:20,196.985748291016,-34.5455932617188,179.932708740234,2.04636307898909E-11,5.3305393582916E-41,46634364928,-1.01890329415965E-18,-1959.599609375,-0.147573113441467,0.0884848460555077,-1.38669034304598E+20,0.112727276980877,41.68,13.39
1,2/3/2021,14:44:30,196.985748291016,-34.5455932617188,179.932708740234,0,6.05080676895456E-41,-0.997674286365509,-1.01552480729657E-16,-11607.744140625,-0.874401092529297,0.0872727259993553,-1.38157339185217E+20,0.109696969389915,41.72,13.39
1,2/3/2021,14:44:40,196.985748291016,-34.5455932617188,179.932708740234,0,6.08864182749133E-41,-0.997921228408813,-1.01890329415965E-18,-8391.474609375,-0.632120549678802,0.0863636359572411,-1.3457547334955E+20,0.113636367022991,41.76,13.39
1,2/3/2021,14:44:50,196.985748291016,-34.5455932617188,179.932708740234,3.04931861011548E-19,8.08549213915419E-42,693.909057617188,-2.61525674173114E-17,-5174.9619140625,-0.389840006828308,0.0872727259993553,-1.38669034304598E+20,0.113030306994915,41.78,13.27
1,2/3/2021,14:45:00,196.985748291016,-34.5455932617188,179.932708740234,0,6.08864182749133E-41,-0.997910976409912,-1.26686138648955E-16,-8390.263671875,-0.632120549678802,0.0869696959853172,-1.3457547334955E+20,0.109999999403954,41.82,13.24
1,2/3/2021,14:45:10,196.985748291016,-34.5455932617188,179.932708740234,0,6.0708453369944E-41,-0.9979248046875,-1.26686138648955E-16,-1959.599609375,-0.147573113441467,0.0896969735622406,-1.37133940150362E+20,0.110909089446068,41.9,13.2
1,2/3/2021,14:45:20,196.985748291016,-34.5455932617188,179.932708740234,0,6.08864182749133E-41,-0.99799633026123,4.9248421229831E-17,-8391.2314453125,-0.632120549678802,0.0896969735622406,-1.35087168468931E+20,0.110303029417992,41.78,13.23
1,2/3/2021,14:45:30,196.985748291016,-34.5455932617188,179.932708740234,0,6.08710039918057E-41,-0.997468769550323,-1.01890329415965E-18,-8390.505859375,-0.632120549678802,0.0872727259993553,-1.36622245030981E+20,0.11060605943203,41.88,13.16
1,2/3/2021,14:45:40,196.985748291016,-34.5455932617188,179.932708740234,5.58793544769287E-08,5.92216756992954E-41,127342903033856,-1.76952395696365E-16,-11607.501953125,-0.874401092529297,0.0890909060835838,-1.39180729423979E+20,0.112424239516258,41.93,13.16
1,2/3/2021,14:45:50,196.985748291016,-34.5455932617188,179.932708740234,0,6.0168953461179E-41,-0.997924745082855,-2.61525674173114E-17,-5174.9619140625,-0.389840006828308,0.0884848460555077,-1.37133940150362E+20,0.112727276980877,41.98,13.13
1,2/3/2021,14:46:00,196.985748291016,-34.5455932617188,179.932708740234,0,4.90538540421545E-41,-0.997066497802734,-5.12862269909697E-17,-1959.599609375,-0.147573113441467,0.0893939435482025,-1.37133940150362E+20,0.114848487079144,41.9,13.16
1,2/3/2021,14:46:10,196.985748291016,-34.5455932617188,179.932708740234,0,1.45735040289781E-42,-0.997121155261993,-1.26686138648955E-16,-8391.474609375,-0.632120549678802,0.0893939435482025,-1.38157339185217E+20,0.113333337008953,41.96,13.13
1,2/3/2021,14:46:20,196.985748291016,-34.5455932617188,179.932708740234,3.33066907387547E-15,6.08864182749133E-41,7590228,-1.26686138648955E-16,-5175.93115234375,-0.389840006828308,0.0881818160414696,-1.3406377823017E+20,0.113636367022991,41.96,13.16
1,2/3/2021,14:46:30,196.985748291016,-34.5455932617188,179.932708740234,0,2.33063960586504E-41,-0.997568964958191,-1.01552480729657E-16,-5174.9619140625,-0.389840006828308,0.0881818160414696,-1.4173919622479E+20,0.111818179488182,41.94,13.13
1,2/3/2021,14:46:40,196.985748291016,-34.5455932617188,179.932708740234,0,1.71168607417276E-41,-0.997897267341614,2.41147583474502E-17,-8390.9892578125,-0.632120549678802,0.0878787860274315,-1.33552091906882E+20,0.113030306994915,41.94,13.16
1,2/3/2021,14:46:50,196.985748291016,-34.5455932617188,179.932708740234,0,5.99615612884589E-41,-0.997923016548157,-1.51819803185697E-16,-11607.017578125,-0.874401092529297,0.0903030335903168,-1.35087168468931E+20,0.112424239516258,41.97,13.2
1,2/3/2021,14:47:00,196.985748291016,-34.5455932617188,179.932708740234,0,6.08752078871987E-41,-0.997870922088623,7.43810071230543E-17,-8390.748046875,-0.632120549678802,0.0872727259993553,-1.36622245030981E+20,0.113030306994915,42.01,13.16
1,2/3/2021,14:47:10,196.985748291016,-34.5455932617188,179.932708740234,0,6.08794117825917E-41,-0.997238159179688,-1.76952395696365E-16,-8391.716796875,-0.632120549678802,0.0887878760695457,-1.36622245030981E+20,0.11060605943203,41.98,13.13
1,2/3/2021,14:47:20,196.985748291016,-34.5455932617188,179.932708740234,0,7.61185325821241E-42,-0.997127652168274,-1.01890329415965E-18,-5175.2041015625,-0.389840006828308,0.0881818160414696,-1.36622245030981E+20,0.114848487079144,42.05,13.13
1,2/3/2021,14:47:30,196.985748291016,-34.5455932617188,179.932708740234,0,6.08738065887344E-41,-0.997461497783661,-1.26686138648955E-16,-1959.84204101563,-0.147573113441467,0.0893939435482025,-1.37133940150362E+20,0.11212120950222,42.03,13.13
1,2/3/2021,14:47:40,196.985748291016,-34.5455932617188,179.932708740234,0,6.05304884649748E-41,-0.99751889705658,2.41147583474502E-17,-11607.017578125,-0.874401092529297,0.0881818160414696,-1.36110558707693E+20,0.113939397037029,42.01,13.16
1,2/3/2021,14:47:50,196.985748291016,-34.5455932617188,179.932708740234,0,5.98900950667784E-41,-0.997896194458008,-1.76952395696365E-16,-8390.9892578125,-0.632120549678802,0.0884848460555077,-1.35598863588312E+20,0.109696969389915,41.98,13.16
